,Paper,year,category,Definition of Cyber-Bullyning,Type of Cyber-bullying,Dataset,Dataset positive sample,Dataset negative sample,Data Downlaoded,Data Collection process,Oversampleing pst instances,Preprocessing,Text Feature,Psycological features,User info features,Sentiment features,WE,Other features,ML model,Deel Learning model,Innovative model,baselines,Test set,Test positive ex.,Test negative ex.,Accuracy,Precision,Recall,AUC,F1,venue,Comments
1,Detection of harassment on web 2.0,2009,Cyber-Bullyiing detetction,communication in which a user intentionally annoys one or more others in a web community,personal insult harassment in which a user systematically deprecates the contributions of another user,"kongregate (4,802)
slashdot (4,303)
myspace (1,946)","kongregate (42)
slashdot (60)
myspace (65)","kongregate (4760)
slashdot (4243)
myspace (1881)",0.0,used from CAW comprtion,1,1,"TF-IDF
ngrams",0,0,1,0,contextual features,0,0,0,0,0,0,0,0,"kongregate (0.35)
slashdot (0.32)
myspace (0.41)","kongregate (0.59)
slashdot (0.27)
myspace (0.25)",0,"kongregate (0.44)
slashdot (0.29)
myspace (0.313)",the Content Analysis in the WEB (CAW 2.0),0
3,Detecting the Presence of Cyber-bullying Using Computer Software,2011,Cyber-Bullyiing detetction,willful and repeated harm inflicted through the medium of electronic text,"flooding, masquerade, flaming,
trolling, harassment, cyberstalking, denigration, outing, and exclusion.",Myspace,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,undergradyate thesis,0
4,Modeling the detection of textual cyberbullying,2011,Cyber-Bullyiing detetction,"when the internet, cell phones or other devices are used to send or post text or images intended to hurt or embaress another person","sexualty
race
intelligence
physical attributes",YouTube(50000),4500,45500,1.0,"data crawled from youtube abd annotated by 2 
middles school educators. 
The inter-rater agreement is kappa =0.4",0,1,"TF-IDF
Ortony lexicon words (negaative weight for profanity words)
POS unigrams
bigrams",0,0,0,0,0,"NB
Rule-Based
Decision tree
SVM",0,0,0,0,0,0,"sexuality - rule based (0/80)
Race - SVM (0.79)
Intelligence - SVM (0.77)",0,0,0,0,AAAI,0
10,The use of Data Mining to Indicate Virtual (Email) Bullying,2012,cyber-Bullyiing detetction,0,0,100 emails,0,0,0.0,0,0,0,0,0,0,0,0,0,KNN,0,clustering email signature syle,0,0,0,0,0,0,0,0,0,Global Congress on Intelligent Systems,they dn't use typical evaluation metrics
12,Cyberbullying Detection- A Step Toward a Safer Internet Yard,2012,cyber-Bullyiing detetction,an aggressive intentional act carried out by a group individual using electornic form of contact,harassment,"Msypace(381,000)",0,0,1.0,0,0,0,"TF-idf of profane words
Tf-idf of personal pronoun",0,"gender
age",0,0,0,SVM,0,0,0,2200,0,0,0,0.43,0.16,0,0.23,International Conference on World Wide Web,0
13,Improved cyberbullying detection using gender information,2012,cyber-Bullyiing detetction,an aggressive intentional act carried out by a group individual using electornic form of contact,harassment,"Msypace(381,000)",0,0,1.0,"Training (CAW2.0)
Test (hand labelled by 3 students)",0,0,"TF-idf of profane words
Tf-idf of personal pronoun",0,"gender
age",0,0,0,SVM,0,0,0,2200,0,0,0,0.43,0.16,0,0.23,Dutch-Belgian Information Retrieval Workshop,0
14,Towards User Modelling in the Combat against Cyberbullying ,2012,cyber-Bullyiing detetction,an aggressive intentional act carried out by a group individual using electornic form of contact,harassment,"Msypace(381,000)",0,0,1.0,"Training (CAW2.0)
Test (hand labelled by 3 students)",0,0,"TF-idf of profane words
Tf-idf of personal pronoun",0,"gender
age",0,0,0,SVM,0,0,0,2200,0,0,0,0.43,0.16,0,0.23,International Conference on Application of Natural Language to Information Systems,0
15,"Common sense reasoning for detection, prevention, and mitigation of cyberbullying",2012,Cyber-Bullyiing detetction,"when the internet, cell phones or other devices are used to send or post text or images intended to hurt or embaress another person","sexualty
race
intelligence
physical attributes",YouTube(50000),4500,45500,1.0,data crawled from youtube abd annotated by 2 middles school educators. The inter-rater agreement is kappa =0.4,0,1,"TF-IDF
Ortony lexicon words (negaative weight for profanity words)
POS unigrams
bigrams",0,0,0,0,0,"NB
Rule-Based
Decision tree
SVM",0,0,0,0,0,0,"sexuality - rule based (0/80)
Race - SVM (0.79)
Intelligence - SVM (0.77)",0,0,0,0,ACM Transactions on Interactive Intelligent Systems (TiiS),0
16,You too?! mixed-initiative lda story matching to help teens in distress,2012,theme related Cyber-Bullyiing detetction,traditional bullying definition from the perspective of teenages,0,MTC teenage srtories (5500),0,0,0.0,0,0,0,TF-IDF,0,0,0,0,sociolinguistic assignmnet of thems,LDA,0,0,0,0,0,0,0,0,0,0,0,International AAAI Conference on Weblogs and Social Media,they use Kappa values to measure assigment of teenages discussion themes in bullying stories told be distressed teenages
20,Using crowdsourcing to improve profanity detection,2012,cyber-Bullyiing detetction,0,0,news website comments(6354),9.40%,90.60%,0.0,AMT labelled the data usign 3 workers with agreement of 0.66,0,use profance list and levenshtien edit distance,bigrams and stems,0,0,0,0,0,SVM,0,0,profance dictionary checking,0,0,0,0.94,0.84,0.42,0,0.56, AAAI Spring Symposium Series,0
21,Automatic identification of personal insults on social news sites,2012,cyber-Bullyiing detetction,0,0,news website comments(968),631,337,0.0,AMT labelled the data usign 3 workers with agreement of 0.66,0,use profance list and levenshtien edit distance,bigrams and stems,0,0,0,0,0,SVM,0,0,profance dictionary checking,0,0,0,0.5,0.65,0.5,0,0.57,Journal of the American Society for Information Science and Technology,0
30,Cyberbullying Detection using Time Series Modeling,2014,Cyber-Bullyiing detetction,"It is defined as a person tormenting, threatening,
harassing or embarrassing another person using the internet or
other technologies, like cell phones",online grooming,PJ (31 transcripts),0,0,0.0,"use dataset from 2010 Kontostathis et al.,",0,0,"tf-idf,
term frequency,
term occurrence,
binary term occurrence",0,0,0,0,"SVD,
Time series",linearSVM and Polynomial SVM,no,no,MLP,0,0,0,RMSE(0.117),0,0,0,0,IEEE International Conference on Data Mining Workshop 2014,"1-MLP is better than SVM
2- SVD is better feature representaion"
35,Automatic detection of antisocial behaviour in texts,2014,Cyber-Bullyiing detetction,"ASB is defined as any unconsiderable action taken aginst individuals or group of individuals 
that may cause harm or distress to sociey",Anti social behaviour,"ASB
ISEAR
Movie_review
wkipedia_extract","ASB (148)
ISEAR (265)
Movie_review (178)
wkipedia_extract (212)",0,0.0,borrowed from other researchers,0,0,BOW,0,0,1,0,0,"MNB
SVM
DT",0,0,0,0,0,0,MNB(0.90),0.9,0.9,0,0.9,International workshop on advances in semantic information retrieval,0
36,Semi-supervised learning for cyberbullying detection in social networks,2014,Cyber-Bullyiing detetction,0,0,CAW2,0,0,0.0,downloaded from the inernet,1,1,"No. swear words
pronouns
capital letters",0,1,1,0,0,0,0,semi-supervised(K-FSVM),"LR
NB
RF",0,0,0,0.99,0.55,0.25,0,0.47,Australasian Database Conference,0
